N,P,K,temperature,humidity,ph,rainfall,label
98,18,55,26.990751,94.288757,5.790006,20.2,muskmelon
81,23,54,29.456368,87.660431,6.472719,64.376196,watermelon
50,46,56,33.47666,94.336998,7.573692,137.938456,papaya
53,52,53,32.320655,89.77143,6.6007,111.932158,papaya
20,143,184,23.934438,93.804967,5.734123,116.630249,apple
22,30,32,30.479843,42.492829,6.049178,81.360185,mango
23,139,205,21.927867,89.675023,5.720816,107.508436,apple
30,54,24,27.693689,59.915312,7.231112,47.354082,mothbeans
22,47,18,30.178698,88.006455,6.597488,78.588117,mungbean
17,49,18,21.752388,72.511403,6.762361,62.441222,lentil
39,65,13,36.169772,57.22089,7.290867,60.003644,blackgram
28,5,36,28.449585,96.839857,5.664265,159.11713,coconut
22,15,34,21.795715,91.482475,6.471412,87.710004,pomegranate
77,51,38,24.603141,77.062111,6.860905,204.334873,jute
26,12,18,28.972035,95.602277,5.819898,169.515122,coconut
16,17,46,18.519592,91.095755,5.691808,100.102111,pomegranate
21,142,197,22.575268,90.803818,5.363296,83.561441,apple
87,60,24,25.475776,56.171285,6.045442,120.520194,maize
44,71,48,34.814869,91.573122,7.045757,131.544984,papaya
96,21,58,29.980053,96.237515,6.532245,20.723754,muskmelon
125,37,46,27.436933,54.93481,7.368601,139.30781,coffee
58,65,51,32.773074,96.053294,6.484228,152.314943,papaya
20,15,8,23.358809,94.493926,7.167565,125.994614,orange
43,55,51,36.945836,93.50336,6.365465,112.087701,papaya
57,66,83,20.594688,22.225933,7.804769,66.993047,chickpea
101,25,44,24.925309,83.014844,6.232604,205.033468,jute
15,37,16,25.332823,92.040266,6.966508,31.254618,mungbean
19,11,5,23.035175,97.40496,7.017626,91.731581,orange
18,67,20,23.51124,44.798799,5.391891,194.905856,pigeonpeas
76,42,45,24.956691,74.965042,6.038273,268.825746,rice
17,20,50,18.576299,93.673272,6.020419,121.202113,pomegranate
24,35,22,29.837439,59.059042,6.555863,47.994711,mothbeans
82,45,41,28.226085,76.063927,6.798933,193.568228,jute
17,69,17,23.515033,64.477329,7.41143,42.219017,lentil
69,54,47,25.503863,82.563503,7.22644,156.30712,jute
39,53,22,25.959603,65.82001,6.91062,56.692068,blackgram
70,45,43,23.723694,72.975166,5.981203,135.074188,jute
46,68,77,15.599944,21.087051,7.144593,75.258907,chickpea
46,66,83,20.178006,19.901747,7.061735,59.811936,chickpea
16,83,23,17.500838,30.447283,5.458102,107.897757,kidneybeans
47,58,39,35.623038,91.677826,7.122824,174.855605,papaya
27,25,33,29.897579,57.772616,5.037505,76.098974,mango
45,63,13,34.756476,63.176083,6.998269,79.626727,blackgram
69,55,20,20.863046,69.758035,5.832235,75.134355,maize
14,40,21,31.404235,82.075321,7.111765,49.763224,mungbean
86,55,20,23.836774,57.082975,5.807005,98.841907,maize
32,75,17,29.061426,55.45622,5.619269,132.496542,pigeonpeas
21,25,24,28.184089,93.82882,6.335752,160.164522,coconut
87,16,64,28.495887,91.987181,5.903,20.2,muskmelon
77,44,21,23.191599,66.739463,5.853547,100.355326,maize
41,65,24,31.577182,53.186684,6.674693,86.359231,blackgram
86,24,28,24.674868,73.44623,7.174535,157.647117,coffee
32,135,205,27.037038,82.145533,6.443845,64.393694,grapes
23,49,18,29.196683,85.433559,6.989131,55.531276,mungbean
83,31,21,23.631957,63.709894,6.95053,169.354397,coffee
13,55,26,21.464104,18.995122,5.436866,103.521049,kidneybeans
118,49,17,25.053071,79.959627,7.169699,82.780727,cotton
22,129,201,20.3516,90.20445,5.560087,134.75993,apple
88,83,56,30.190868,77.626928,5.82389,115.165043,banana
33,46,18,28.200445,63.176384,6.425113,98.538103,blackgram
108,18,42,26.560523,88.771589,6.031267,40.141973,watermelon
34,8,37,25.961055,95.820197,5.890553,143.603914,coconut
16,65,20,19.816397,66.354668,6.565208,31.640013,lentil
28,12,15,25.284351,88.973264,6.229895,135.634544,orange
75,71,39,32.869318,91.306903,6.695777,110.467945,papaya
26,63,25,29.277112,57.103986,6.680594,142.325753,pigeonpeas
10,12,15,22.831439,91.193673,7.52917,104.68767,orange
84,38,47,20.273731,77.851015,6.29205,245.783991,rice
106,13,52,28.362431,94.08986,6.107675,20.2,muskmelon
21,66,18,29.419227,61.805361,5.02552,161.77531,pigeonpeas
106,19,48,29.101477,92.728222,6.009054,24.071293,muskmelon
32,17,31,29.064184,97.855963,6.072296,159.743558,coconut
87,50,38,27.567871,77.312256,7.237419,159.974893,jute
79,81,51,26.370123,82.122126,6.048738,96.963593,banana
38,50,22,27.593918,68.094701,6.783384,93.048842,blackgram
46,58,42,31.54869,93.412773,6.055991,148.001688,papaya
115,86,44,31.344689,85.590965,5.440309,93.462698,banana
105,45,26,22.526625,80.642542,6.867572,59.012105,cotton
112,9,48,25.32868,88.255612,7.098752,45.833489,watermelon
33,17,5,23.525095,90.722523,7.21172,135.711486,orange
116,31,42,29.860026,59.165786,6.638563,129.570337,coffee
46,71,88,20.152735,14.301475,7.288295,79.860495,chickpea
103,50,40,25.618542,87.467497,6.31236,224.856774,rice
